Title,Content,Date of Experience,Review Date,Rating,Reviewer Name,Location,No of reviews given
Took too long to arrive,Took too long to arrive. When I had to reauthorise payment I was told that PayPal credit isn’t available because it took too long to arrive. ,2024-06-06T00:00:00Z,2024-06-12T10:06:55Z,1,Gordy,,3
Zero packaging,"Zero packaging. Bought an expensive scanner. The box arrived with no packaging, they just stuck some paper adhesive tape over top seal on the box and an address label on the side, relying on the boxes existing packaging to protect the contents.

The goods were thankfully not damaged, more down to luck, but the box was torn, gouged and dented in several places.

Considering how packages and boxes are treated in transit I find this unacceptable. Should have been placed in a bigger box with buffer material (air filled bags, polystyrene chips, etc).

First and only time I'd use this company. ",2024-05-25T00:00:00Z,2024-05-31T11:34:03Z,1,Carl Ritchie,,8
Ordered a product only to be told in an…,"Ordered a product only to be told in an automated email that it's not in stock and that I now have to call them to cancel it. Very annoying, they should be clear about delivery times and if items are in stock. ",2024-05-28T00:00:00Z,2024-05-28T21:07:37Z,1,Jonnie Yates,,10
Brought used speedlight,"Brought used speedlight, unfortunately it arrived faulty. Have been told it can take 4 weeks after it’s delivered back to Węc at Norwich to confirm if it’s repairable. Just to update, the team at Wex photo video have beenin touch and have been very helpful and responsive in helping to resolve this. 
Generally whenever purchasing from Wex - the service has always been positive. 
Thanks for the help and great customer service and support. ",2024-05-15T00:00:00Z,2024-05-21T11:14:23Z,1,Saying how it is,"London, GB",6
Really bad experience till now already…,Really bad experience till now already paid for the product and still didn’t recived it ,2024-05-15T00:00:00Z,2024-05-21T10:41:37Z,1,customer,,1
Very disappointing considering what was advertised.,"I bought a used lens with a 9/10 condition rating, with only light cosmetic wear noted in the description. The lens arrived on the assigned day (the only positive of this whole experience), only to find that that window for the focus dial was held on with tape (which was not mentioned at all in the description) and the autofocus did not work at all. Very disappointing considering what was advertised.",2024-05-09T00:00:00Z,2024-05-15T20:21:02Z,1,Matt,,1
"Rude, unprofessional staff","Spoke to 3 different people on the phone. The first guy had a rude, passive aggressive tone. The second was a girl who had no idea what she was talking about and kept trying to fob me off with nonsense to get off the call. The third guy (who was suppose to be the expert) was also pushing information he didn't understand and was also rude and aggressive. Very poor experience from all staff - will be shopping elsewhere.",2024-05-09T00:00:00Z,2024-05-15T10:41:58Z,1,Anton Russell,,3
Honesty is the Best Policy,"I have bought many items from WEX in the past, but last few have been disappointing. Firstly received a lens which was seemingly not the one in the photo, and not in the condition I expected, and now, received a valuation on a trade in, that they graded as a '6' with  value reduced accordingly, only to see the item appear as a '9' on the site when for sale, with a value to match. And this wasn't the only issue with this transaction. Time to move to a dealer I can trust",2024-04-03T00:00:00Z,2024-05-03T17:29:52Z,1,Eamon Durey,,8
Service poor now,"Service poor now, used to be the best - not anymore ",2024-04-26T00:00:00Z,2024-05-02T12:23:48Z,1,PeterJ,,29
I don't trust them,"I've dealt with Wex, (previously Calumet) for many years both personally and through businesses. I thought that they were completely trustworthy.  I was recently having a clearcut of  cheaper camera gear with a view to buying  a Black Magic set up with lenses for film projects so I took some photographic gear to Wex, Edinburgh. I left the kit with them and they came back with a value of around £550. I wasn't entirely happy so I took the gear back. A couple of months later I took a camera, a lens and a flash to them thinking that I would part exchange it against the movie setup. These were in original boxes and I have the receipts. There had unfortunately been a break in to the Edinburgh store, so they couldn't assess the gear, (the same gear as before) within store and had to send it off. That wasn't a problem for me. What was a problem was the next valuation of the kit as £301, thereafter a final valuation of £72. To add insult to injury I was then told that my camera was a grey Import, (It was bought in John Lewis Edinburgh) that the flash was rusty, and that the lens had mould in it. All nonsense. I was informed that they would happily dispose of the lease and flash for me. (To use a local colloquialism, ""Aye Right""). I realise that this is a business and they have to make money but this is beyond the pale. I asked for my equipment back and they agreed to send it. I received it a few days later to find that the charger was out of the box and the cable was missing. I informed them. They immediately dispatched a charger, which wasn't mine and bore no semblance to the one I'd sent. When I contacted them to ask whose it was they just replied to say that they would send another.  In short I thought that I was dealing with a professional company who valued their customers and in particular valued the merchandise. Clearly Not. The camera, flash and lens have now been checked by a reputable dealer who has passed them all as absolutely fine and in working order. I have left the Black Magic camera, lenses and other equipment which I was going to buy in the checkout bin and am now buying them elsewhere. I will not be dealing with Wex again for any of my photographic or sound equipment. I personally don't trust them.  Update:
In regards to the reply of : your equipment is older, the problem is not the age of the equipment but the complete nonsense about the condition of the equipment which has been inspected since and sold to a reputable dealer for a fair price. It isn't difficult to assess the equipment and it's very easy to make up excuses for poor service. Wex can say what they like in reply to this. I have voted with my feet and bought my new equipment elsewhere.

",2024-04-28T00:00:00Z,2024-05-01T14:51:44Z,1,Mr DAVID CONNELLY,,4
